input.text,annot1,annot2,annot3,Coded Labels,,,Binary Coded Labels,,,Voting and Final Labels
The Climate Change Election is over he allowing the to call the shots no new power stations underway more unreliables rolling out EnergyPoverty here we come he should have dumped the Paris Accord Fraud but no great big Leftist with Leftard Cabinet,Explicit White Supremacism,Neutral,Neutral,2,0,0,1,0,0,0
OF COURSE this is happening to one of your elite white male appointees For decades the radical left has been marching through the educational system with hatred for everything White historically Western while flooding the West with new voters They ARE trying to overthrow us,Neutral,Other hate Speech,Explicit White Supremacism,0,3,2,0,1,1,1
An 11 year old girl was shot in London last night by teenage gunman Liberalism tolerance immigration multiculturalism have led to this,Implicit White Supremacism,Implicit White Supremacism,Implicit White Supremacism,1,1,1,1,1,1,1
And you wonder why there are mass shootings,Neutral,Explicit White Supremacism,Other hate Speech,0,2,3,0,1,1,1
Donte Stallworth black NFL player was drunk 126 BAC and high on marijuana when he killed pedestrian in Miami He faced over 30 years in prison but settled with the victim family for millions He got 30 days in jail Privilege is economic not racial WhitePrivilege,Other hate Speech,Neutral,Implicit White Supremacism,3,0,1,1,0,1,1
This is what domestic terrorism looks like,Explicit White Supremacism,Neutral,Neutral,2,0,0,1,0,0,0
Nobody gets charged for an argument Why are you so frightened of Union thug Oh yeah he controls ALP,Neutral,Implicit White Supremacism,Implicit White Supremacism,0,1,1,0,1,1,1
Professor Bart Knijnenburg has been report to the DoD Inspector General Secret Service FBI for 18 879,Explicit White Supremacism,Other hate Speech,Neutral,2,3,0,1,1,0,1
mon Man She pleasant nuttah That is not an election winning combo,Implicit White Supremacism,Neutral,Explicit White Supremacism,1,0,2,1,0,1,1
Croatian Nationalists Highlight the Resistance Movement Struggle against Global Zionism via,Neutral,Implicit White Supremacism,Implicit White Supremacism,0,1,1,0,1,1,1
Weird how you do not consider the option of Iran stopping all the terror attacks around the world,Neutral,Implicit White Supremacism,Implicit White Supremacism,0,1,1,0,1,1,1
Hypocrites,Neutral,Neutral,Neutral,0,0,0,0,0,0,0
Rabbis Move to Forbid Renting Homes to non Jews say Racism Originated in the Torah More,Neutral,Neutral,Implicit White Supremacism,0,0,1,0,0,1,0
Regime in Iran properties in Canada sold proceeds handed to terror victims,Neutral,Explicit White Supremacism,Implicit White Supremacism,0,2,1,0,1,1,1
Germany Jew Paints Let Gas the Jews on Public Property and is not Arrested via,Implicit White Supremacism,Explicit White Supremacism,Implicit White Supremacism,1,2,1,1,1,1,1
The truth about Puerto Rico it not the propaganda Mayor of SanJuan has been spewing MSM cluless celebrities TakeAKnee,Neutral,Implicit White Supremacism,Explicit White Supremacism,0,1,2,0,1,1,1
Russia youtube sensation Alyona Yarushina performs arranges and produces incredible covers,Neutral,Explicit White Supremacism,Neutral,0,2,0,0,1,0,0
GAME ON What is Trump waiting for,Implicit White Supremacism,Neutral,Implicit White Supremacism,1,0,1,1,0,1,1
Supposed White Nationalist supposedly commits terror attack in the name of White Nationalism America tried outlawing alcohol but we all saw how that played out,Other hate Speech,Explicit White Supremacism,Explicit White Supremacism,3,2,2,1,1,1,1
think about this lot,Neutral,Neutral,Neutral,0,0,0,0,0,0,0
leftist comes from morally sound place in their view You make moral argument based on Biblical worldview Their response is to get personal target you as an individual engage in tribalism Which is worse,Explicit White Supremacism,Explicit White Supremacism,Explicit White Supremacism,2,2,2,1,1,1,1
More than 36 000 pl are shot to death every year according to gov data That works out to about 100 day or one every 14 minutes Suicides account for more than 60 percent of those deaths Slightly more than third are homicides BanGuns,Neutral,Neutral,Implicit White Supremacism,0,0,1,0,0,1,0
Russia Today Neo Nazi Activities in Sweden Reaching Record Heights Read more,Neutral,Implicit White Supremacism,Implicit White Supremacism,0,1,1,0,1,1,1
Yeah it definitely some kind of strange racial autoimmune condition,Neutral,Implicit White Supremacism,Neutral,0,1,0,0,1,0,0
They literally believe that the entire world exists for their own exploitation and servitude This is not the product of their religion This is the product of their blood It woven into their DNA,Implicit White Supremacism,Neutral,Neutral,1,0,0,1,0,0,0
This is hugely significant And crushing to the Dem narrative They ve been saying Except for that OLC opinion Mueller would have charged Trump We did not reach determination WHETHER the President committed crime Moving on,Neutral,Implicit White Supremacism,Implicit White Supremacism,0,1,1,0,1,1,1
Several incidents reveal the commanding position of the Rothschilds in the Great War 1914 18,Implicit White Supremacism,Neutral,Neutral,1,0,0,1,0,0,0
sure the press will run with this BIGLY right guys Iranians Caught Posing As Americans On Facebook To Hype Mueller Investigation Slam Trump And Kavanaugh,Explicit White Supremacism,Explicit White Supremacism,Explicit White Supremacism,2,2,2,1,1,1,1
Listen you morons the West is not collapsing STOP peddling these lies The US Navy can takeout any ground threat in the world the economy is growing in few years the rich who are having kids will have AI The boys are going accelerationest because of this BS talk STOP IT,Explicit White Supremacism,Implicit White Supremacism,Implicit White Supremacism,2,1,1,1,1,1,1
Bummer Sorry to hear,Neutral,Other hate Speech,Explicit White Supremacism,0,3,2,0,1,1,1
Official Palestinians banned from riding same buses as Jews Full Story,Implicit White Supremacism,Implicit White Supremacism,Explicit White Supremacism,1,1,2,1,1,1,1
You do not believe me,Explicit White Supremacism,Neutral,Explicit White Supremacism,2,0,2,1,0,1,1
How do you know these women were white Swedish Most likely they were women in the refugee center with the man Can you please cite your source on this,Explicit White Supremacism,Explicit White Supremacism,Explicit White Supremacism,2,2,2,1,1,1,1
1942 Wehrmacht amp,Neutral,Neutral,Neutral,0,0,0,0,0,0,0
do not think ve ever asked for this before but my mom getting checked for cancer today do not know anything else but would appreciate you guys prayers,Neutral,Other hate Speech,Explicit White Supremacism,0,3,2,0,1,1,1
Only fools would fall for Mediscare Mark This Govt has increased health spending from 13 3b to 21b this year 59 increase Don believe the lies of,Explicit White Supremacism,Other hate Speech,Explicit White Supremacism,2,3,2,1,1,1,1
Apparently maritime attacks are all the rage these days,Explicit White Supremacism,Explicit White Supremacism,Neutral,2,2,0,1,1,0,1
Fantastic drone footage of joint forces from the as they stage an amphibious assault at Langham Beach in Queensland during The training improves the combat readiness and interoperability between Australian forces USwithAUS,Explicit White Supremacism,Neutral,Implicit White Supremacism,2,0,1,1,0,1,1
ve found it The perfect tweet,Neutral,Other hate Speech,Explicit White Supremacism,0,3,2,0,1,1,1
Lol that you re response You ignore what said and then put words in my mouth And on top of it you re playing the victim card Lol,Neutral,Other hate Speech,Neutral,0,3,0,0,1,0,0
ch schreibe nicht gut auf Deutsch Kannst du auf Englisch schreiben,Other hate Speech,Implicit White Supremacism,Other hate Speech,3,1,3,1,1,1,1
Open borders is not just preference for Jews it part of their identity it central to their prosperity as people As logical consequence if you are against open borders then you are necessarily against Jews,Explicit White Supremacism,Other hate Speech,Neutral,2,3,0,1,1,0,1
With increasing numbers non whites no longer need to respect the flag the anthem the pledge or Independence Day The nation is the people and as the people go so goes the nation Whites should realize our country is being colonized all over again,Explicit White Supremacism,Explicit White Supremacism,Explicit White Supremacism,2,2,2,1,1,1,1
The sugar industry in Australia says you are talentless illiterate Moron Your speech impediment is imbarresing My 12 rear old is more articulate then you You are talentless FWit,Explicit White Supremacism,Implicit White Supremacism,Explicit White Supremacism,2,1,2,1,1,1,1
It their obsession to have control over culture They have always sought to gain control of literature use it to not only rewrite history but to guide the future They use literature to artificially construct people sense of personal identity It psychological warfare,Neutral,Implicit White Supremacism,Other hate Speech,0,1,3,0,1,1,1
If White people hate others it only because White people love their own,Implicit White Supremacism,Explicit White Supremacism,Implicit White Supremacism,1,2,1,1,1,1,1
But know of at least one man,Implicit White Supremacism,Implicit White Supremacism,Neutral,1,1,0,1,1,0,1
If being American has no race religion or ethos requirements that means there are around Billion potential Americans Anyone can be American after all One giant economic zone open to all It what the founders wanted,Implicit White Supremacism,Implicit White Supremacism,Explicit White Supremacism,1,1,2,1,1,1,1
meh do not care id rather win,Other hate Speech,Neutral,Other hate Speech,3,0,3,1,0,1,1
British NS Group National Action Facing UK Ban as Home Secretary Lashes Out via,Neutral,Neutral,Explicit White Supremacism,0,0,2,0,0,1,0
believe you re mistaken there friend was never on TWOTAR However did show with No White Guilt and The Great Order which is what think you must be referring to Either way greatly appreciate the encouragement,Implicit White Supremacism,Explicit White Supremacism,Implicit White Supremacism,1,2,1,1,1,1,1
One imagines that if Iran were flying drones over the Gulf of Mexico in our airspace or not we wouldn pussyfoot about shooting them down,Other hate Speech,Implicit White Supremacism,Implicit White Supremacism,3,1,1,1,1,1,1
That very well put,Neutral,Neutral,Neutral,0,0,0,0,0,0,0
nationalism is threat says the Board of Deputies of British Jews Jews have the right to self determination for Israel says the IHRA definition of antisemitism,Implicit White Supremacism,Neutral,Implicit White Supremacism,1,0,1,1,0,1,1
You think this policy will help people who take drugs our gov has proven that they have no caring for Australians first robo debt that has killed so many then attack pensioners then pl on NDIS its all about kicking pl off welfare to make dodgy budget figures balance,Explicit White Supremacism,Neutral,Other hate Speech,2,0,3,1,0,1,1
muh Golan Heights,Neutral,Explicit White Supremacism,Implicit White Supremacism,0,2,1,0,1,1,1
In contrast to the generally concentric loyalties of conservatives liberals tend to have leapfrogging loyalties that vault over people near them on various dimensions to instead exalt the well being of The Other,Neutral,Other hate Speech,Explicit White Supremacism,0,3,2,0,1,1,1
That COMMIE BUM CAN SHOULD be court martialed under the UCMJ Art 133 134 for starters IGNORANT COMMIE you know NOTHING,Explicit White Supremacism,Other hate Speech,Neutral,2,3,0,1,1,0,1
